Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Mean Radiant Temperature [C](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE:Zone Air System Sensible Heating Rate [W](Hourly),COMFENZONE:Zone Air System Sensible Cooling Rate [W](Hourly),COMFENZONE:Zone Air Temperature [C](Hourly),COMFENZONE:Zone Air Humidity Ratio [](Hourly),COMFENZONE:Zone Air Relative Humidity [%](Hourly),COMFENZONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),COMFENZONE:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Energy [J](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly) 
s-singletint,south,existing, 05/01  08:00:00,24.175,75599.99231,25.15940543,23.99994755,24.57967649,0,279.4176851,23.99994755,0.011002901,57.4156916,0,0,0,784.377733,2823759.839,535.1471827,1926529.858,0,0,915433.6117
s-singletint,south,existing, 05/01  09:00:00,26.0625,59399.99396,25.73079908,23.99991635,24.86535771,0,352.6133049,23.99991635,0.010918657,56.98378609,0,0,0,901.6261406,3245854.106,624.4119446,2247883,0,0,915433.6117
s-singletint,south,existing, 05/01  10:00:00,27.7,59399.99396,26.36829956,23.99993371,25.18411663,0,491.1172238,23.99993371,0.010737127,56.05235122,0,0,0,1097.876914,3952356.891,776.7727604,2796381.938,0,0,915433.6117
s-singletint,south,existing, 05/01  11:00:00,28.675,37799.99615,26.97843449,23.99998421,25.48920935,0,629.2957118,23.99998421,0.010293231,53.73858466,0,0,0,1241.852076,4470667.474,922.9065546,3322463.597,0,0,915433.6117
s-singletint,south,existing, 05/01  12:00:00,29.9625,37799.99615,27.77176259,23.99994914,25.88585586,0,849.0804118,23.99994914,0.009682244,50.57829688,0,0,0,1449.891722,5219610.198,1153.371981,4152139.131,0,0,915433.6117
s-singletint,south,existing, 05/01  13:00:00,30.9125,37799.99615,28.18808174,23.99985878,26.09397026,0,975.8029882,23.99985878,0.009267638,48.41403668,0,0,0,1542.289843,5552243.434,1288.238253,4637657.712,0,0,915433.6117
s-singletint,south,existing, 05/01  14:00:00,29.35,37799.99615,27.71064929,23.99984844,25.85524886,0,832.2758197,23.99984844,0.009110248,47.58553228,0,0,0,1342.873219,4834343.589,1131.626286,4073854.628,0,0,915433.6117
s-singletint,south,existing, 05/01  15:00:00,28.675,37799.99615,27.66841387,23.99985094,25.8341324,0,810.2722348,23.99985094,0.009039683,47.22222775,0,0,0,1306.639458,4703902.049,1103.96484,3974273.425,0,0,915433.6117
s-singletint,south,existing, 05/01  16:00:00,29.2125,37799.99615,27.61195388,23.99982465,25.80588926,0,802.7117889,23.99982465,0.009033087,47.15836204,0,0,0,1295.019097,4662068.749,1100.948418,3963414.305,0,0,915433.6117
s-singletint,south,existing, 05/01  17:00:00,28.4,37799.99615,27.14012562,23.99977413,25.56994988,0,685.5679189,23.99977413,0.009124994,47.58286221,0,0,0,1161.651694,4181946.097,977.0285773,3517302.878,0,0,915433.6117
s-singletint,south,existing, 05/01  18:00:00,27.1125,37799.99615,26.64834524,23.99975457,25.3240499,0,581.1937966,23.99975457,0.009297388,48.4811102,0,0,0,1050.427459,3781538.851,861.796123,3102466.043,0,0,915433.6117
s-singletint,south,existing, 05/01  19:00:00,26.325,90449.9908,26.22710893,23.9997841,25.11344652,0,478.4754895,23.9997841,0.009450864,49.28808693,0,0,0,934.378853,3363763.871,752.397773,2708631.983,0,0,915433.6117
s-singletint,south,existing, 05/01  20:00:00,24.35,120149.9878,25.82026239,23.99979813,24.91003026,0,396.7363636,23.99979813,0.0095861,50.04628231,0,0,0,831.5719131,2993658.887,653.9600625,2354256.225,0,0,915433.6117
s-singletint,south,existing, 05/01  21:00:00,22.9875,134999.9863,25.55363899,23.99979447,24.77671673,0,358.7823767,23.99979447,0.009705796,50.70009076,0,0,0,784.3909016,2823807.246,604.5001429,2176200.515,0,0,915433.6117
s-singletint,south,existing, 05/01  22:00:00,22.8,120149.9878,25.40462466,23.99977806,24.70220136,0,337.0802562,23.99977806,0.009869429,51.60710067,0,0,0,767.1438109,2761717.719,581.2098047,2092355.297,0,0,915433.6117
s-singletint,south,existing, 05/01  23:00:00,23.1125,90449.9908,25.25815198,23.99976133,24.62895666,0,275.6447261,23.99976133,0.010086219,52.69557543,0,0,0,700.7920548,2522851.397,522.4204149,1880713.494,0,0,915433.6117
s-singletint,south,existing, 05/01  24:00:00,22.9875,44549.99547,25.09432603,23.99978152,24.54705377,0,227.2797257,23.99978152,0.010301538,53.79558304,0,0,0,647.0526201,2329389.432,472.997656,1702791.562,0,0,915433.6117
s-singletint,south,existing, 05/02  01:00:00,22.425,29699.99698,24.9324217,23.99981536,24.46611853,0,196.2022216,23.99981536,0.010472022,54.65700837,0,0,0,609.0839843,2192702.344,437.1703809,1573813.371,0,0,915433.6117
s-singletint,south,existing, 05/02  02:00:00,21.8875,22949.99767,24.77842921,23.9998433,24.38913626,0,167.6516629,23.9998433,0.010615537,55.37239223,0,0,0,571.6427585,2057913.93,404.0895869,1454722.513,0,0,915433.6117
s-singletint,south,existing, 05/02  03:00:00,21.7,14849.99849,24.65563947,23.99986621,24.32775284,0,145.6860152,23.99986621,0.01073079,55.9632984,0,0,0,544.4168027,1959900.49,380.5490439,1369976.558,0,0,915433.6117
s-singletint,south,existing, 05/02  04:00:00,21.7,14849.99849,24.56538651,23.99987768,24.28263209,0,130.7849717,23.99987768,0.010839535,56.52067449,0,0,0,528.272391,1901780.607,365.6492618,1316337.343,0,0,915433.6117
s-singletint,south,existing, 05/02  05:00:00,21.7,14849.99849,24.48789041,23.99988726,24.24388883,0,118.4878415,23.99988726,0.010941571,57.04348974,0,0,0,515.2783196,1855001.95,353.3527691,1272069.969,0,0,915433.6117
s-singletint,south,existing, 05/02  06:00:00,21.7,29699.99698,24.42646323,23.99989593,24.21317958,0,109.4965833,23.99989593,0.011035267,57.48689059,0,0,0,506.2309031,1822431.251,344.3615399,1239701.544,0,0,915433.6117
